Order_ID,Customer_ID,Order_Date,Product_Category,Quantity,Unit_Price,Total_Sales,Region,Discount,Customer_Return
ORD01988,CUST0807,2023-01-01,Beauty,1,941.55,621.4229999999999,West,0.34,1
ORD03072,CUST1515,2023-01-01,Beauty,9,450.35,2675.0789999999997,West,0.34,1
ORD06031,CUST0320,2023-01-01,Clothing,1,808.74,501.4188,West,0.38,1
ORD06024,CUST1003,2023-01-01,Clothing,3,684.81,1171.0251,West,0.43,1
ORD01029,CUST0172,2023-01-01,Home,6,742.53,4143.3174,South,0.07,0
ORD09685,CUST0081,2023-01-01,Grocery,7,468.6,1804.1100000000004,S0uth,0.45,1
ORD07654,CUST1221,2023-01-01,Beauty,1,931.52,484.3904,West,0.48,0
ORD03276,CUST1070,2023-01-01,Sports,3,950.88,2767.0607999999997,North,0.03,1
ORD00649,CUST1601,2023-01-01,Sporrts,8,669.98,5359.84,West,0.0,1
ORD00849,CUST1785,2023-01-01,Beauty,4,82.83,212.0448,North,0.36,1
ORD08083,CUST0592,2023-01-01,homE,3,191.42,327.32820000000004,South,0.43,0
ORD05185,CUST0234,2023-01-01,Beauty,7,288.97,1517.0925000000002,West,0.25,1
ORD00756,CUST1811,2023-01-01,Sports,3,496.5,893.6999999999999,South,0.4,1
ORD00992,CUST0545,2023-01-01,Beauty,4,925.54,3443.0087999999996,North,0.07,1
ORD09634,CUST1660,2023-01-01,Beauty,2,449.94,476.93640000000005,West,0.47,0
ORD00678,CUST1500,2023-01-01,Home,2,530.63,1040.0348,South,0.02,0
ORD07394,CUST1731,2023-01-01,Beauty,1,663.52,550.7216,South,0.17,1
ORD01165,CUST0878,2023-01-01,Electronics,6,340.66,1185.4968000000001,West,0.42,1
ORD08504,CUST1787,2023-01-01,Beauty,3,594.21,1194.3621,East,0.33,1
ORD06184,CUST1728,2023-01-01,Sports,8,324.23,1971.3184,North,0.24,0
ORD00447,CUST1470,2023-01-01,Clothing,5,82.5,367.125,South,0.11,0
ORD06605,CUST1771,2023-01-01,Electronics,6,917.07,2861.2584,North,0.48,1
ORD02071,CUST1539,2023-01-01,Clothing,9,877.54,6555.2238,North,0.17,1
ORD06853,CUST0834,2023-01-01,Clothing,4,641.33,1898.3368,South,0.26,1
ORD06667,CUST1255,2023-01-01,Grocery,5,584.04,1722.9180000000001,West,0.41,1
ORD03581,CUST0359,2023-01-01,Grocery,2,684.34,971.7628,East,0.29,1
ORD06356,CUST1978,2023-01-01,Electronics,8,393.36,1573.44,North,0.5,1
ORD04192,CUST0594,2023-01-01,Sports,1,193.86,114.37740000000002,South,0.41,0
ORD02011,CUST0346,2023-01-01,Grocery,5,400.3,1961.47,West,0.02,1
ORD06553,CUST0494,2023-01-01,,3,941.53,2061.9507,West,0.27,1
ORD06794,CUST1394,2023-01-02,Electronics,3,94.68,198.828,East,0.3,0
