Order_ID,Customer_ID,Order_Date,Product_Category,Quantity,Unit_Price,Total_Sales,Region,Discount,Customer_Return
ORD00001,CUST0873,2023-04-13,Home,2,412.26,527.69,East,0.36,0
ORD00002,CUST1988,2023-12-15,Home,5,41.09,156.14,South,0.24,1
ORD00003,CUST0750,2023-09-28,Home,4,377.21,1327.78,West,0.12,1
ORD00004,CUST0889,2023-04-17,Electronics,9,180.91,1123.45,South,0.31,0
ORD00005,CUST1453,2023-03-13,Sports,5,259.7,947.9,North,0.27,1
ORD00006,CUST1054,2023-07-08,Grocery,9,878.82,7197.54,West,0.09,0
ORD00007,CUST0438,2023-01-21,Beauty,9,441.69,3180.17,West,0.2,1
ORD00008,CUST0770,2023-04-13,,2,281.06,438.45,South,0.22,0
ORD00009,CUST0749,2023-05-02,Home,9,593.44,2723.89,West,0.49,1
ORD00010,CUST0437,2023-08-03,Home,3,150.69,262.2,East,0.42,0
ORD00011,CUST1552,2023-11-27,Electronics,4,266.8,672.34,South,0.37,1
ORD00012,CUST0151,2023-03-29,Electronics,1,550.79,308.44,East,0.44,0
ORD00013,CUST1079,2023-04-10,Beauty,1,245.15,154.44,North,0.37,1
ORD00014,CUST0112,2023-12-26,Home,1,682.34,375.29,South,0.45,0
ORD00015,CUST1208,2023-06-01,Home,9,496.58,4335.14,West,0.03,0
ORD00016,CUST1040,2023-05-11,Grocery,8,774.27,6194.16,South,,0
ORD00017,CUST0474,2023-05-30,Beauty,5,948.76,2988.59,East,0.37,0
ORD00018,CUST0082,2023-11-05,Electronics,5,124.65,442.51,East,0.29,1
ORD00019,CUST0017,2023-09-15,homE,9,341.32,2795.41,North,0.09,1
ORD00020,CUST0710,2023-12-10,Beauty,3,326.35,812.61,West,0.17,1
ORD00021,CUST1458,2023-10-21,Electronics,3,159.67,402.37,West,0.16,1
ORD00022,CUST1526,2023-07-11,Electronics,7,812.2,4946.3,North,0.13,0
ORD00023,CUST1752,2023-10-04,Grocery,9,762.28,5694.23,East,0.17,0
ORD00024,CUST1149,2023-06-10,Grocery,6,489.58,2173.74,West,0.26,1
ORD00025,CUST1327,2023-11-10,Electronics,2,542.39,618.32,West,0.43,1
ORD00026,CUST1814,2023-01-22,Home,1,68.95,43.44,East,0.37,1
ORD00027,CUST0958,2023-09-10,Beauty,2,559.95,649.54,North,0.42,1
ORD00028,CUST0397,2023-08-24,Electronics,1,793.43,444.32,East,0.44,0
ORD00029,CUST1684,2023-12-11,Sports,9,578.09,4110.22,West,0.21,0
ORD00030,CUST0453,2023-02-18,Electronics,8,272.65,1810.4,South,0.17,1
ORD00031,,2023-02-28,Electronics,7,670.87,4555.21,North,0.03,1
ORD00032,CUST1729,2023-06-19,Grocery,3,367.87,584.91,South,0.47,0
ORD00033,CUST1539,2023-07-07,Electronics,8,549.42,4263.5,East,0.03,1
ORD00034,CUST0531,2023-09-28,Clothing,2,492.69,620.79,North,0.37,1
ORD00035,CUST0548,2023-07-09,Grocery,2,387.36,627.52,North,0.19,1
ORD00036,CUST1512,2023-06-24,Sports,3,721.69,1147.49,North,0.47,1
ORD00037,CUST1039,2023-02-20,Home,7,885.04,4894.27,East,0.21,0
ORD00038,CUST0035,2023-12-30,Grocery,1,15.16,15.16,North,,1
ORD00039,CUST1949,2023-02-24,Beauty,8,934.28,7474.24,North,,1
ORD00040,CUST1414,2023-09-01,Beauty,7,516.4,3072.58,West,0.15,1
ORD00041,CUST1651,2023-11-16,Grocery,4,703.72,1970.42,North,0.3,0
ORD00042,CUST1414,2023-05-11,Beauty,5,857.07,2142.68,West,0.5,1
ORD00043,CUST1768,2023-11-03,Grocery,1,472.43,349.6,North,0.26,0
ORD00044,CUST0161,2023-05-15,,4,836.62,1773.63,East,0.47,0
ORD00045,CUST1765,2023-01-21,Electronics,1,185.84,113.36,North,0.39,1
ORD00046,CUST1106,2023-11-25,Sports,1,167.58,100.55,North,0.4,1
ORD00047,CUST1434,2023-06-16,Beauty,1,660.9,515.5,East,0.22,1
ORD00048,CUST1850,2023-10-01,Clothing,7,871.44,4941.06,,0.19,1
ORD00049,CUST1322,2023-03-30,Clothing,7,893.5,5629.05,South,0.1,1
ORD00050,CUST1468,2023-11-12,Sports,4,647.3,1346.38,North,0.48,1
ORD00051,CUST0733,2023-01-14,Beauty,2,530.23,551.44,North,0.48,1
ORD00052,CUST0777,2023-08-30,Electronics,3,338.08,638.97,West,0.37,1
ORD00053,CUST1247,2023-09-22,Beauty,8,980.2,6665.36,West,0.15,1
ORD00054,CUST0819,2023-12-12,Electronics,8,326.5,2298.56,South,0.12,1
ORD00055,CUST0148,2023-02-22,Beauty,6,746.74,2285.02,East,0.49,1
ORD00056,CUST0359,2023-12-06,Clothing,9,536.66,4685.04,North,0.03,1
ORD00057,CUST0076,2023-04-02,Home,9,612.43,3196.88,West,0.42,1
ORD00058,CUST1649,2023-09-21,Grocery,4,399.55,1310.52,South,0.18,1
ORD00059,CUST0796,2023-02-04,Sports,1,965.17,762.48,East,0.21,1
ORD00060,CUST0945,2023-07-25,Electronics,1,575.97,334.06,Eeast,0.42,1
ORD00061,CUST0497,2023-03-22,Home,5,938.41,4457.45,East,0.05,1
ORD00062,CUST1621,2023-02-19,Electronics,2,17.52,28.73,South,0.18,0
ORD00063,CUST0544,2023-12-26,,6,576.94,1800.05,East,0.48,0
ORD00064,CUST0010,2023-01-02,Home,7,720.02,3276.09,East,0.35,1
ORD00065,CUST0380,2023-02-23,Home,1,747.63,463.53,South,0.38,0
ORD00066,CUST1070,2023-04-16,Grocery,6,905.93,3370.06,East,0.38,1
ORD00067,CUST0921,2023-09-17,Grocery,8,14.36,111.43,South,0.03,1
ORD00068,CUST0986,2023-11-06,Sports,5,10.33,46.48,East,0.1,1
ORD00069,CUST0627,2023-07-10,Sports,7,477.54,2507.08,West,0.25,0
ORD00070,CUST0454,2023-08-06,Electronics,6,39.0,191.88,West,0.18,1
ORD00071,CUST1701,2023-02-13,Home,4,974.79,3080.34,West,0.21,1
ORD00072,CUST1834,2023-06-11,Sports,7,229.84,981.42,West,0.39,1
ORD00073,CUST1298,2023-07-21,Grocery,9,477.94,4258.45,South,0.01,1
ORD00074,CUST0190,2023-09-27,Electronics,7,70.53,330.79,East,0.33,1
ORD00075,CUST1405,2023-12-17,Beauty,5,526.83,2634.15,South,0.0,1
ORD00076,CUST0364,2023-10-31,Grocery,7,386.16,2622.03,North,0.03,1
ORD00077,CUST1897,2023-09-28,Sports,3,54.21,130.1,East,0.2,1
ORD00078,CUST1963,2023-08-03,Grocery,2,341.77,396.45,South,0.42,1
ORD00079,CUST1817,2023-09-09,Grocery,5,397.52,1848.47,East,0.07,1
ORD00080,CUST1140,2023-07-09,Home,4,990.02,2851.26,East,0.28,1
ORD00081,CUST1979,2023-10-23,Beauty,5,215.81,712.17,North,0.34,1
ORD00082,CUST0423,2023-08-01,Sports,8,549.33,3911.23,,0.11,0
ORD00083,CUST0822,2023-07-27,Clothing,4,987.44,2922.82,East,0.26,1
ORD00084,CUST1745,2023-08-25,Home,9,794.1,3859.33,East,0.46,1
ORD00085,CUST0668,2023-12-04,Eletronics,7,993.43,5145.97,North,0.26,1
ORD00086,CUST1976,2023-02-22,Home,7,968.62,6237.91,South,0.08,0
ORD00087,CUST1927,2023-10-07,Electronics,8,494.64,2730.41,West,0.31,0
ORD00088,CUST0253,2023-08-05,Clothing,6,699.41,2937.52,South,0.3,1
ORD00089,CUST1974,2023-09-09,Sports,8,119.34,945.17,South,0.01,1
ORD00090,CUST0353,2023-07-07,,3,446.74,1273.21,South,0.05,0
ORD00091,CUST0539,2023-02-10,Grocery,1,810.93,746.06,West,0.08,1
ORD00092,CUST0722,2023-06-06,Sports,6,510.28,2847.36,South,0.07,1
ORD00093,CUST1686,2023-01-15,Electronics,1,705.67,613.93,South,0.13,1
ORD00094,CUST1673,2023-10-28,Grocery,9,748.29,5185.65,West,0.23,1
ORD00095,CUST0887,2023-03-06,Eletronics,2,260.93,422.71,West,0.19,0
ORD00096,CUST1185,2023-12-11,Beauty,2,876.94,964.63,North,0.45,1
ORD00097,CUST1368,2023-11-23,Clothing,7,465.22,3256.54,South,,1
ORD00098,CUST0137,2023-01-09,Home,2,218.08,244.25,North,0.44,1
ORD00099,CUST1300,2023-12-10,Sports,8,866.76,5131.22,East,0.26,0
ORD00100,CUST0544,2023-05-09,Clothing,6,423.64,2440.17,North,0.04,1
ORD00101,CUST1442,2023-05-16,Sports,7,752.81,4057.65,North,0.23,0
ORD00102,CUST1767,2023-03-04,Clothing,7,552.55,2282.03,North,0.41,1
ORD00103,CUST0692,2023-05-19,Home,6,388.05,2095.47,North,0.1,1
ORD00104,CUST1127,2023-03-22,Sports,9,811.78,6940.72,South,0.05,1
ORD00105,CUST0396,2023-06-12,Sports,9,588.63,4450.04,East,0.16,0
ORD00106,,2023-10-16,Beauty,7,396.66,2249.06,East,0.19,1
ORD00107,CUST0735,2023-09-18,Electronics,9,118.5,906.52,West,0.15,1
ORD00108,CUST1028,2023-08-19,Clothing,3,896.49,2501.21,East,0.07,1
ORD00109,CUST0102,2023-02-10,Home,3,45.11,117.74,North,0.13,0
ORD00110,CUST1289,2023-01-28,Beauty,1,864.56,570.61,West,0.34,0
ORD00111,CUST1197,2023-05-15,Beauty,5,366.36,1483.76,North,0.19,0
ORD00112,CUST1424,2023-07-20,Electronics,4,642.95,1748.82,South,0.32,1
ORD00113,CUST0554,2023-11-24,Home,2,922.98,1347.55,South,0.27,1
ORD00114,CUST0145,2023-09-25,Grocery,9,160.19,1052.45,East,0.27,0
ORD00115,CUST1224,2023-02-02,Clothing,3,571.28,1508.18,North,0.12,1
ORD00116,CUST0158,2023-02-17,Sports,8,766.79,4539.4,North,0.26,1
ORD00117,CUST1326,2023-03-03,Electronics,6,760.01,4514.46,North,0.01,1
ORD00118,CUST1422,2023-08-04,,5,530.38,2068.48,West,0.22,1
ORD00119,CUST1547,2023-10-20,Beauty,1,628.49,446.23,West,0.29,1
ORD00120,CUST1202,2023-04-09,,4,759.95,2766.22,West,0.09,1
ORD00121,CUST0889,2023-06-21,,3,842.62,2199.24,,0.13,1
ORD00122,CUST0495,2023-12-26,Grocery,1,764.19,680.13,East,0.11,1
ORD00123,CUST1571,2023-08-02,Clothing,5,360.46,1730.21,North,0.04,1
ORD00124,CUST0869,2023-02-04,Grocery,6,996.76,4963.86,North,0.17,1
ORD00125,CUST0255,2023-08-15,Sports,2,440.16,448.96,East,0.49,1
ORD00126,CUST1021,2023-04-11,Sports,3,34.22,84.18,West,0.18,1
ORD00127,CUST1550,2023-05-11,Electronics,6,368.99,1704.73,West,0.23,1
ORD00128,CUST0859,2023-09-14,Grocery,4,136.51,365.85,West,0.33,1
ORD00129,CUST1500,2023-01-05,homE,9,130.23,797.01,West,0.32,1
ORD00130,CUST0814,2023-08-06,Sports,5,288.72,765.11,West,0.47,0
ORD00131,CUST1313,2023-09-12,Home,4,62.84,143.28,East,0.43,1
ORD00132,CUST0792,2023-12-25,Electronics,2,691.63,829.96,South,0.4,1
ORD00133,CUST0778,2023-10-10,Electronics,6,83.25,259.74,South,0.48,1
ORD00134,,2023-07-26,Electronics,2,211.26,371.82,South,0.12,0
